variable,group,label
Grower ID,general_info,Field Information
Field Name,general_info,Field Information
Field Size (ac),general_info,Field Information
Location,general_info,Field Information
State,general_info,Field Information
Field GeoJSON,general_info,Field Information
Crop Year,general_info,Field Information
Crop,general_info,Field Information
Metric Version,general_info,Field Information
Adjusted Yield,operation_questions,Operation Questions
Adjusted Yield Units,operation_questions,Operation Questions
Land Use Score (acre / yield units),fieldprint_scores,Fieldprint Scores
Soil Conservation Score (ton / acre / year),fieldprint_scores,Fieldprint Scores
Water Erosion (ton / acre / year),soil_erosion_components,Soil Erosion Components
Wind Erosion (ton / acre / year),soil_erosion_components,Soil Erosion Components
Soil Carbon,fieldprint_scores,Fieldprint Scores
Irrigation Water Use Score,fieldprint_scores,Fieldprint Scores
Irrigation Water Use Score Units,fieldprint_scores,Fieldprint Scores
Energy Use Score,fieldprint_scores,Fieldprint Scores
Energy Use Score Units,fieldprint_scores,Fieldprint Scores
Management Energy (btu / yield units),energy_components,Energy Components
Application Energy (btu / yield units),energy_components,Energy Components
Manure Loading Energy (btu / yield units),energy_components,Energy Components
Seed Energy (btu / yield units),energy_components,Energy Components
Irrigation Energy (btu / yield units),energy_components,Energy Components
Post-Harvest Energy (btu / yield units),energy_components,Energy Components
Transportation Energy (btu / yield units),energy_components,Energy Components
Energy Use (btu / acre),energy_components,Energy Components
Management Energy (btu / acre),energy_components,Energy Components
Application Energy (btu / acre),energy_components,Energy Components
Manure Loading Energy (btu / acre),energy_components,Energy Components
Seed Energy (btu / acre),energy_components,Energy Components
Irrigation Energy (btu / acre),energy_components,Energy Components
Post-Harvest Energy (btu / acre),energy_components,Energy Components
Transportation Energy (btu / acre),energy_components,Energy Components
GHG Score,fieldprint_scores,Fieldprint Scores
GHG Score Units,fieldprint_scores,Fieldprint Scores
Management Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Application Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Manure Loading Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Seed Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Irrigation Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Post-Harvest Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Transportation Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Nitrous Oxide Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Rice Methane Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
Residue Burning Energy Emissions (lbs CO2e / yield units),ghg_components,GHG Components
GHG per acre (lbs CO2e / acre),ghg_components,GHG Components
Management Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Application Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Manure Loading Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Seed Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Irrigation Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Post-Harvest Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Transportation Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Nitrous Oxide Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Rice Methane Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Residue Burning Energy Emissions (lbs CO2e / acre),ghg_components,GHG Components
Water Quality Score,fieldprint_scores,Fieldprint Scores
Surface Phosphorus Field Sensitivity Category,wq_components,WQ Components
Subsurface Phosphorus Field Sensitivity Category,wq_components,WQ Components
Surface Nitrogen Field Sensitivity Category,wq_components,WQ Components
Subsurface Nitrogen Field Sensitivity Category,wq_components,WQ Components
Surface Phosphorus Field Sensitivity Score,wq_components,WQ Components
Subsurface Phosphorus Field Sensitivity Score,wq_components,WQ Components
Surface Nitrogen Field Sensitivity Score,wq_components,WQ Components
Subsurface Nitrogen Field Sensitivity Score,wq_components,WQ Components
Surface Phosphorus Risk Mitigation Score,wq_components,WQ Components
Subsurface Phosphorus Risk Mitigation Score,wq_components,WQ Components
Surface Nitrogen Risk Mitigation Score,wq_components,WQ Components
Subsurface Nitrogen Risk Mitigation Score,wq_components,WQ Components
Surface Phosphorus Pathway Ratio,wq_components,WQ Components
Subsurface Phosphorus Pathway Ratio,wq_components,WQ Components
Surface Nitrogen Pathway Ratio,wq_components,WQ Components
Subsurface Nitrogen Pathway Ratio,wq_components,WQ Components
Surface Phosphorus Pathway Mitigation,wq_components,WQ Components
Subsurface Phosphorus Pathway Mitigation,wq_components,WQ Components
Surface Nitrogen Pathway Mitigation,wq_components,WQ Components
Subsurface Nitrogen Pathway Mitigation,wq_components,WQ Components
Biodiversity Score (Total % Realized HPI),fieldprint_scores,Fieldprint Scores
Total HPI Score,biodiversity_component,Biodiversity Component
Slope (%),soil_properties,Soil Properties
Slope Length (ft),soil_properties,Soil Properties
Surface Soil Texture Class,soil_properties,Soil Properties
Was the previous crop residue burned?,rotation_questions,Rotation Questions
Previous Crop,rotation_questions,Rotation Questions
Previous Yield,rotation_questions,Rotation Questions
Previous Yield Units,rotation_questions,Rotation Questions
How much residue remains on the field from the previous year?,rotation_questions,Rotation Questions
What is the predominant crop rotation practice used?,rotation_questions,Rotation Questions
Do you use a cover crop?,rotation_questions,Rotation Questions
Cover Crop Species,rotation_questions,Rotation Questions
Cover Crop Establishment Timing,rotation_questions,Rotation Questions
What is the predominant tillage practice used?,crop_rotation,Crop Rotation
Crop Rotation System,crop_rotation,Crop Rotation
Crop Rotation Event JSON,crop_rotation,Crop Rotation
Does the field have a wind barrier based on NRCS standards?,management_questions,Management Questions
Tile Drainage System Type,management_questions,Management Questions
Rice Only: Please select the appropriate water regime used for your rice production,management_questions,Management Questions
Are you implementing an approved Nutrient Management Plan?,management_questions,Management Questions
Do you apply nutrients according to the 4 Rs of nutrient stewardship?,management_questions,Management Questions
Did you apply lime for this crop?,management_questions,Management Questions
What year was it applied?,management_questions,Management Questions
Estimated Number of Years Lime will be Applicable (year),management_questions,Management Questions
Lime Amount (ton / acre),management_questions,Management Questions
Rice Only: Did you apply Sulfate?,management_questions,Management Questions
Rice Only: Sulfate Amount (lb / acre),management_questions,Management Questions
Nutrient (Fertilizer or Manure) Applied?,management_questions,Management Questions
Nitrogen Applied?,management_questions,Management Questions
Nitrogen Carry Over (lb / acre),management_questions,Management Questions
Phosphorus Applied?,management_questions,Management Questions
Phosphorus Soil Test,management_questions,Management Questions
Phosphorus Years Applicable,management_questions,Management Questions
Nutrient Management Techniques,management_questions,Management Questions
Integrated Pest Management,management_questions,Management Questions
Was any part of this field converted from a use other than cropland in the past 5 years?,management_questions,Management Questions
Type of Land Conversion,management_questions,Management Questions
Converted Area (acres),management_questions,Management Questions
Do you practice any season enhancements for wildlife habitat?,management_questions,Management Questions
Water conservation practices,management_questions,Management Questions
Seeding Rate,management_questions,Management Questions
Seeding Rate Units,management_questions,Management Questions
Are Seed Treatments Used?,management_questions,Management Questions
Rice Only: Planting Method,management_questions,Management Questions
Rice Only: Cultivar,management_questions,Management Questions
Alfalfa Only: Establishment Year,management_questions,Management Questions
Alfalfa Only: Expected Stand Life (year),management_questions,Management Questions
Is Irrigated?,management_questions,Management Questions
Water Source,management_questions,Management Questions
Groundwater Irrigation: Water Applied (acre_inch / acre),operation_questions,Operation Questions
Groundwater Irrigation: Do you use energy to irrigate the field through pumping?,operation_questions,Operation Questions
Groundwater Irrigation: Enter exact energy amount?,operation_questions,Operation Questions
Groundwater Irrigation: Pumping Pressure (psi),operation_questions,Operation Questions
Groundwater Irrigation: Pumping Depth (ft),operation_questions,Operation Questions
Groundwater Irrigation: Energy Source,operation_questions,Operation Questions
Groundwater Irrigation: Electric Amount (kwh),operation_questions,Operation Questions
Groundwater Irrigation: Fuel Type,operation_questions,Operation Questions
Groundwater Irrigation: Fuel Amount,operation_questions,Operation Questions
Groundwater Irrigation: Fuel Amount Units,operation_questions,Operation Questions
Surface Water Irrigation: Do you practice any water conservation methods?,operation_questions,Operation Questions
Surface Water Irrigation: Water Applied (acre_inch / acre),operation_questions,Operation Questions
Surface Water Irrigation: Do you use energy to irrigate the field through pumping?,operation_questions,Operation Questions
Surface Water Irrigation: Enter exact energy amount?,operation_questions,Operation Questions
Surface Water Irrigation: Pumping Pressure (psi),operation_questions,Operation Questions
Surface Water Irrigation: Pumping Depth (ft),operation_questions,Operation Questions
Surface Water Irrigation: Energy Source,operation_questions,Operation Questions
Surface Water Irrigation: Electric Amount (kwh),operation_questions,Operation Questions
Surface Water Irrigation: Fuel Type,operation_questions,Operation Questions
Surface Water Irrigation: Fuel Amount,operation_questions,Operation Questions
Surface Water Irrigation: Fuel Amount Units,operation_questions,Operation Questions
Number of Application Trips,application_trips_summary,Application Trips Summary
Total N (lb / acre) for All Trips,application_trips_summary,Application Trips Summary
Total P2O5 (lb / acre) for All Trips,application_trips_summary,Application Trips Summary
Total K2O (lb / acre) for All Trips,application_trips_summary,Application Trips Summary
Total Herbicides for All Trips,application_trips_summary,Application Trips Summary
Total Insecticides for All Trips,application_trips_summary,Application Trips Summary
Total Fungicides for All Trips,application_trips_summary,Application Trips Summary
Total Growth Regulators for All Trips,application_trips_summary,Application Trips Summary
Total Fumigant for All Trips,application_trips_summary,Application Trips Summary
Total Harvest Aids for All Trips,application_trips_summary,Application Trips Summary
Application Trip 1: Timing,application_trips,Application Trips
Application Trip 1: Method,application_trips,Application Trips
Application Trip 1: Number of Herbicides,application_trips,Application Trips
Application Trip 1: Number of Insecticides,application_trips,Application Trips
Application Trip 1: Number of Fungicides,application_trips,Application Trips
Application Trip 1: Number of Growth Regulator Aids,application_trips,Application Trips
Application Trip 1: Number of Fumigants,application_trips,Application Trips
Application Trip 1: Number of Harvest Aids,application_trips,Application Trips
Application Trip 1: Number of Fertilizers,application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Type",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Rate",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Rate Units",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Custom Rate Nitrogen (lb/acre)",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Custom Rate Phosphorus (lb/acre)",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Custom Rate Potassium (lb/acre)",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Custom Blend Nitrogen (%)",application_trips,Application Trips
"Application Trip 1, Fertilizer 1: Fertilizer Custom Blend Phosphorus (%)",application_trips,Application Trips
